v/cg/resnet_v113/conv46/batchnorm46/gamma/read/_1173	v/cg/resnet_v113/conv46/batchnorm46/gamma/read/_1172
v/tower_0/cg/resnet_v17/conv24/batchnorm24/FusedBatchNorm/_795	v/tower_0/cg/resnet_v17/conv24/batchnorm24/FusedBatchNorm/_794
v/cg/resnet_v14/conv16/conv2d/kernel/read/_628	v/cg/resnet_v14/conv16/conv2d/kernel/read/_627
v/cg/resnet_v113/conv46/conv2d/kernel/read/_1171	v/cg/resnet_v113/conv46/conv2d/kernel/read/_1170
v/cg/resnet_v17/conv27/batchnorm27/gamma/read/_831	v/cg/resnet_v17/conv27/batchnorm27/gamma/read/_830
v/cg/resnet_v15/conv19/conv2d/kernel/read/_678	v/cg/resnet_v15/conv19/conv2d/kernel/read/_677
v/cg/resnet_v112/conv40/batchnorm40/gamma/read/_61	v/cg/resnet_v112/conv40/batchnorm40/gamma/read/_60
v/tower_0/cg/resnet_v10/conv2/batchnorm2/FusedBatchNorm/_387	v/tower_0/cg/resnet_v10/conv2/batchnorm2/FusedBatchNorm/_386
v/cg/resnet_v15/conv19/batchnorm19/beta/read/_689	v/cg/resnet_v15/conv19/batchnorm19/beta/read/_688
v/cg/resnet_v13/conv14/batchnorm14/beta/read/_599	v/cg/resnet_v13/conv14/batchnorm14/beta/read/_598
v/cg/resnet_v113/conv45/conv2d/kernel/read/_83	v/cg/resnet_v113/conv45/conv2d/kernel/read/_82
v/cg/resnet_v15/conv20/batchnorm20/gamma/read/_259	v/cg/resnet_v15/conv20/batchnorm20/gamma/read/_258
v_1/tower_1/gradients/AddN_145/_1823	v_1/tower_1/gradients/AddN_145/_1822
v_1/tower_1/gradients/AddN_68/_1551	v_1/tower_1/gradients/AddN_68/_1550
v/cg/resnet_v111/conv38/batchnorm38/gamma/read/_1029	v/cg/resnet_v111/conv38/batchnorm38/gamma/read/_1028
v/tower_0/gradients/v/tower_0/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1937	v/tower_0/gradients/v/tower_0/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1936
v/cg/resnet_v11/conv5/batchnorm5/gamma/read/_435	v/cg/resnet_v11/conv5/batchnorm5/gamma/read/_434
v/cg/resnet_v15/conv20/batchnorm20/beta/read/_707	v/cg/resnet_v15/conv20/batchnorm20/beta/read/_706
v/cg/resnet_v16/conv23/batchnorm23/beta/read/_761	v/cg/resnet_v16/conv23/batchnorm23/beta/read/_760
v/cg/conv0/conv2d/kernel/read/_336	v/cg/conv0/conv2d/kernel/read/_335
v/cg/resnet_v114/conv47/conv2d/kernel/read/_1182	v/cg/resnet_v114/conv47/conv2d/kernel/read/_1181
v/cg/resnet_v114/conv47/batchnorm47/gamma/read/_1191	v/cg/resnet_v114/conv47/batchnorm47/gamma/read/_1190
v/cg/resnet_v113/conv46/conv2d/kernel/read/_89	v/cg/resnet_v113/conv46/conv2d/kernel/read/_88
v/tower_0/gradients/v/tower_0/cg/resnet_v10/conv3/batchnorm3/FusedBatchNorm_grad/FusedBatchNormGrad/_1909	v/tower_0/gradients/v/tower_0/cg/resnet_v10/conv3/batchnorm3/FusedBatchNorm_grad/FusedBatchNormGrad/_1908
